id,platform,title,text,author,created_utc,score,num_comments,url
UgxoeEvvLe10YpQYTqV4AaABAg,youtube,,The quality of this video is excellent.,@StaceyMcGrew-c8y,2025-11-12 13:29:59,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=UgxoeEvvLe10YpQYTqV4AaABAg
UgxRWbOFxM3dncRlxUF4AaABAg,youtube,,Who is here 2025😂,@IshSamuel-y7k,2025-11-12 04:57:09,1,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=UgxRWbOFxM3dncRlxUF4AaABAg
Ugx9iqycwwX10US_C-94AaABAg,youtube,,Who is here in 2027,@axatxonoff_01,2025-11-12 04:37:51,2,1,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugx9iqycwwX10US_C-94AaABAg
UgzAAqJTJe94R9cSt2V4AaABAg,youtube,,Who is here in 2027,@axatxonoff_01,2025-11-12 04:37:34,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=UgzAAqJTJe94R9cSt2V4AaABAg
UgyufPwlbRi2DCXuNy54AaABAg,youtube,,"I couldn't install Anaconda, so I used Jupyter Notebook directly from Pycharm",@vantrinhthe1948,2025-11-11 15:12:30,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=UgyufPwlbRi2DCXuNy54AaABAg
UgwjOW_bNcxwYTuz66B4AaABAg,youtube,,"Emoji shortcut for windows in python = ""windows + ."" or ""windows + ;""",@vickysontakki9371,2025-11-11 14:04:35,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=UgwjOW_bNcxwYTuz66B4AaABAg
Ugxd9QwJxJ77YczcMix4AaABAg,youtube,,"Honestly, I don't know sometimes I wanted to Devops guy another time cloud and automation, next moment i want to be AI/ML and then again, a backend engineer. If anyone else is starting this python, help me out as well, help me code with me or at least be there at the end to compete or track the progress.",@Ghoul-jy4ec,2025-11-11 13:19:35,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugxd9QwJxJ77YczcMix4AaABAg
UgyIO9uV6FVlFX3Am214AaABAg,youtube,,I found this video really useful.,@RyannOrgan,2025-11-11 03:25:28,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=UgyIO9uV6FVlFX3Am214AaABAg
UgwMVOu-DBPosP6PlKZ4AaABAg,youtube,,Who's here in 2025 😊,@quranmylife7459,2025-11-10 22:12:56,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=UgwMVOu-DBPosP6PlKZ4AaABAg
UgwSQOUjLuPxSwb87Nx4AaABAg,youtube,,"I've been looking for a python course and you sold me out on several exercises, because I want practice.
Starting tomorrow 11th of Nov 2025. See you in 2 weeks when I'm done.
I'll keep commenting everyday as a means to track my progress. I apologize for who ever it would bother.",@njongnyanadiakeng1092,2025-11-10 21:20:39,0,0,https://youtube.com/watch?v=_uQrJ0TkZlc&lc=UgwSQOUjLuPxSwb87Nx4AaABAg
